"orden_revision";"prioridad";"estado_revision";"decision_manual";"notas_revisor";"bdns_id";"titulo";"grupo_revision";"comprobacion_recomendada";"fecha_cierre";"fecha_apertura";"url";"motivo_automatico";"origen"
"11";"alta";"pendiente";"";"";"918135";"AYUDAS DESTINADAS A PROMOVER GRANDES ACTUACIONES DE INVERSIÓN PARA LA MODERNIZACIÓN DE LA ESTRUCTURA PRODUCTIVA Y DIGITAL DE LA ACTIVIDAD INDUSTRIAL 2026";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"";"2026-04-01";"INDUSTRIA.CAIB.ES";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"12";"alta";"pendiente";"";"";"923051";"Ayudas económicas para la consolidación y reactivación de las actividades económicas en polígonos industriales, comercios del casco urbano y emprendedores afectados por la DANA del 29 de octubre de 2024.";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-12-31";"2026-07-03";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/923051";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"13";"alta";"pendiente";"";"";"918502";"Ayudas para la puesta en marcha de grupos de cooperación para la innovación en digitalización y gestión sostenible de explotaciones ganaderas 2026";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-30";"2026-07-17";"http://www.caib.es";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"14";"alta";"pendiente";"";"";"920771";"BASES AYUDAS PARA NUEVOS AUTÓNOMOS Y EMPRESAS EN EL MUNICIPIO DE BENIDORM 2026";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-12-31";"";"https://sede.benidorm.org/eAdmin/";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"15";"alta";"pendiente";"";"";"923651";"BASES DE LA CONVOCATORIA DE AYUDAS DESTINADAS A APOYAR A LAS EMPRESAS DE ECONOMÍA SOCIAL DE SANTIAGO DE COMPOSTELA 2026";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/923651";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"16";"alta";"pendiente";"";"";"921765";"Bases de las ayudas destinadas al apoyo de entidades que superaron los umbrales mínimos de los programas de nuevos proyectos empresariales de empresas innovadoras del CDTI (Recuperación Excelencia Neotec)";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-30";"2026-08-07";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/921765";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"17";"alta";"pendiente";"";"";"898803";"Bases reguladoras de la convocatoria de subvención para el fomento de la prevención, la reutilización, la preparación para la reutilización y el reciclaje de los residuos, dirigida a empresas privadas y autónomos, del año 2026";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-12-31";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/898803";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"18";"alta";"pendiente";"";"";"898453";"BASES REGULADORAS ESPECÍFICAS Y CONVOCATORIA PARA LA CONCESIÓN DE SUBVENCIONES PARA EL FOMENTO DE LA MOVILIDAD SOSTENIBLE DE EMISIONES CERO EN GRAN CANARIA 2026.";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-12-31";"";"https://energiagrancanaria.sedelectronica.es/info.0";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"19";"alta";"pendiente";"";"";"917802";"Bases reguladoras para subvenciones destinadas a financiar inversiones en energía, transición energética, cambio climático, prevención y gestión de residuos y economía circular, conforme art. 13 de Texto refundido de Ley de Subvenciones de Illes Balears.";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"";"2026-06-26";"https://www.caib.es/sites/subvencions_residus/ca/convo_economia_circular_empreses/";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"20";"alta";"pendiente";"";"";"917825";"Bases reguladoras para subvenciones destinadas a financiar inversiones en energía, transición energética, cambio climático, prevención y gestión de residuos y economía circular, conforme art. 13 de Texto refundido de Ley de Subvenciones de Illes Balears.";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"";"2026-06-26";"https://www.caib.es/sites/subvencions_residus/ca/convo_economia_circular_entitats_deconomia_social/";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"21";"alta";"pendiente";"";"";"919204";"BASES REGULADORAS Y CONVOCATORIA DE LAS AYUDAS A EMPRESAS POR LOCALIZACIÓN EN ESPACIOS INDUSTRIALES DE LA PROVINCIA DE SEGOVIA. PLAN RADICA. 2026";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-21";"2026-07-21";"https://sede.dipsegovia.es/";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"22";"alta";"pendiente";"";"";"923539";"BONIFICACIÓN ARRENDAMIENTO NAVE B SITUADA EN LA PARCELA 96-R17 DEL POLÍGONO INDUSTRIAL DE VALDEFERRÍN DE EJEA DE LOS CABALLEROS";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2032-12-31";"2024-01-01";"www.ejea.es";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"23";"alta";"pendiente";"";"";"906384";"Ciberseguridad Industrial";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-11-23";"2026-05-19";"https://www.spri.eus/es/ayudas/ciberseguridad-industrial/";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"24";"alta";"pendiente";"";"";"922978";"Concurso de Artesanía 2026, premios empresas artesanas, según convocatoria efectuada por Resolución de 27 de julio de 2026";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-30";"";"https://www.juntaex.es/w/0707924";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"25";"alta";"pendiente";"";"";"910584";"Convenio Asociación de Industrias del Calzado y Conexas de La Rioja AICCOR";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-12-31";"2026-01-01";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/910584";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"26";"alta";"pendiente";"";"";"908933";"Convenio de empresas asociadas de los polígonos industriales para promover relaciones empresariales, cooperación entre ellas, mantener y potenciar su actividad economica";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-12-31";"2026-01-01";"http://santquirzevalles.cat";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"27";"alta";"pendiente";"";"";"914878";"CONVENIO ENTRE LA CAMARA OFICIAL DE COMERCIO, INDUSTRIA Y SERVICIOS DE SALAMANCA Y LA SOCIEDAD MUNICIPAL DE TURISMO, COMERCIO Y PROMOCIÓN ECONÓMICA DE SALAMANCA S.A.U., PARA EL PROGRAMA “SALAMANCA GLOBAL HUB” ORIENTADO AL CRECIMIENTO DE NÓMADAS DIGITALES.";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2027-11-30";"2026-06-16";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/914878";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"28";"alta";"pendiente";"";"";"919481";"Convocatoria de 2026 de ayudas para la realización de proyectos de I+D+i_Innovacion_Proceso";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-08";"2026-07-31";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/919481";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"29";"alta";"pendiente";"";"";"919489";"Convocatoria de 2026 de ayudas para la realización de proyectos de I+D+i_Innovacion_Producto_minimis";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-08";"2026-07-31";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/919489";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"30";"alta";"pendiente";"";"";"922175";"Convocatoria de ayudas para la Creación y Consolidación de Empresas Basadas en el Conocimiento del XII Plan Propio Galileo de Innovación y Transferencia";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-11";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/922175";"Administración OTROS con ámbito ES613 - Córdoba: debe verificarse el vínculo territorial exigido.";"ajuste_territorial_posterior"
"31";"alta";"pendiente";"";"";"922686";"Convocatòria de la subvenció per l`aquisició d`equips amb tecnologia RFID per a la gestió de les biblioteques públiques";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2027-12-31";"2026-07-03";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/922686";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"32";"alta";"pendiente";"";"";"920127";"Convocatoria de subvenciones para mejoras en eficiencia energética y la innovación en materia de procesos y de organización en el ámbito turístico de las Illes Balears";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"";"2026-06-08";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/920127";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"33";"alta";"pendiente";"";"";"921770";"Convocatoria para la concesión de las ayudas económicas, en pública concurrencia no competitiva, para el fomento del autoempleo y la creación de nuevas actividades empresariales";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-10-09";"2026-06-30";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/921770";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"34";"alta";"pendiente";"";"";"905892";"CONVOCATORIA SUBVENCIONS EFICIENCIA ENERGETICA 2026";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-10-31";"2026-03-01";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/905892";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"35";"alta";"pendiente";"";"";"922080";"Decreto de la delegada del área de gobierno de economía, innovación y hacienda por el que se aprueba la convocatoria pública para la concesión de subvenciones dirigidas al fomento de productos, herramientas o servicios de modernización tecnológica y digit";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-15";"2026-09-01";"https://sede.madrid.es/portal/site/tramites/menuitem.c61bb691882ed9d32e202e2084f1a5a0/?vgnextoid=5a9d5d53be9a0210VgnVCM100000171f5a0aRCRD&vgnextchannel=5a9d5d53be9a0210VgnVCM100000171f5a0aRCRD&vgnextfmt=default";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"36";"alta";"pendiente";"";"";"896476";"ECONOMÍA SOCIAL - Concesión de subvención de 105.000,00 € a la empresa de inserción Es Im-Perfect Food SL de la Fundación Espigoladors para financiar su ""Proyecto de inserción laboral 2026""";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/896476";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"37";"alta";"pendiente";"";"";"923145";"Fomento actividades científicas y tecnologicas";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-30";"2026-08-17";"https://seuelectronica.dipta.cat";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"38";"alta";"pendiente";"";"";"680958";"fomento de instalacions de generación renovable en puertos de las Islas Balearsamb tecnología fotovoltaica, eólica, undimotriu o marina, de almacenamiento eléctrico, de infraestructura de recarga eléctrica o de hidrógeno renovable.";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"";"2022-12-17";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/680958";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"39";"alta";"pendiente";"";"";"919861";"Orden de 16 de julio de 2026 - AGMRPA, se convocan determinadas ayudas no reembolsables destinadas a la mejora de la competitividad de la industria agroalimentaria - Plan Estratégico de la Industria Agroalimentaria de Castilla y León 2024 -2028. Línea AI2";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-01";"2026-07-22";"https://www.tramitacastillayleon.jcyl.es";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"40";"alta";"pendiente";"";"";"872920";"Orden de 2 de diciembre de 2025 por la que se establecen las bases reguladoras para la concesión de ayudas para la adquisición de vehículos adaptados a personas con movilidad reducida (EUROTAXI), vehículos taxi de emisiones CERO y vehículos taxi ECO y se";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-10-14";"2025-12-22";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/872920";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"41";"alta";"pendiente";"";"";"920356";"Orden de 20 de julio 2026 de la Consejería de Medio Ambiente y Energía por la que se convocan ayudas, cofinanciadas por (FEADER), destinadas al fomento de plantaciones de especies con producciones forestales de alto valor en PEPAC 2023-2027. año 2026.";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-25";"2026-07-24";"https://www.tramitacastillayleon.jcyl.es";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"42";"alta";"pendiente";"";"";"920474";"Orden de 20 de julio de 2026, de la Consejería de Industria, Universidades, Empleo y Comercio por la que se convoca el Programa I de las subvenciones dirigidas a promover la comercialización y garantizar el abastecimiento en el medio rural.";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-10-01";"2026-08-04";"https://www.tramitacastillayleon.jcyl.es";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"43";"alta";"pendiente";"";"";"921183";"Orden de 23 de julio de 2026 de la Consejera de Política Social, Familias e Igualdad por la que se aprueba la convocatoria de subvenciones a empresas de la Región de Murcia para la implantación de Planes de Igualdad";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-16";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/921183";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"44";"alta";"pendiente";"";"";"915103";"Orden de 24 de junio de 2026, de la Consejería de Industria, Universidades, Empleo y Comercio, por la que se convocan subvenciones destinadas a la inversión fija vinculada a la creación de nuevos puestos de trabajo en empresas de inserción.";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-17";"2026-06-27";"https://www.tramitacastillayleon.jcyl.es";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"45";"alta";"pendiente";"";"";"910836";"Orden de 4 de junio de 2026, de la Consejería de Industria, Comercio y Empleo, por la que se convocan subvenciones a la creación y/o mantenimiento de puestos de trabajo de personas en riesgo o situación de exclusión social en empresas de inserción.";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-17";"2026-06-10";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/910836";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"46";"alta";"pendiente";"";"";"911450";"Orden de 8 de Junio de 2026, de la Consejería de Industria, Comercio y Empleo, por la que se convocan subvenciones por asistencia técnica en empresas de inserción.";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-15";"2026-06-12";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/911450";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"47";"alta";"pendiente";"";"";"921551";"Orden IND/37/2026, de 27 de julio, de convocatoria de subvenciones 2026 correspondiente al programa “Talento y Empleo”: formación profesional a medida de las empresas en sectores estratégicos: Industria de los electrodomésticos y utensilios de cocina";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-04";"2026-08-04";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/921551";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"48";"alta";"pendiente";"";"";"921311";"ORDEN POR LA QUE SE CONVOCAN SUBVENCIONES DE APOYO A AGRUPACIONES EMPRESARIALES INNOVADORAS O CLÚSTERES PARA LA REALIZACIÓN DE ACTUACIONES DE INNOVACIÓN EN CANARIAS, EJERCICIO 2027, EN TRAMITACIÓN ANTICIPADA";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-10-31";"2026-10-01";"https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/10617";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"49";"alta";"pendiente";"";"";"920602";"Orden por la que se establecen las bases reguladoras para la concesión de subvenciones a las empresas privadas para el fomento de la sostenibilidad en el desarrollo de la actividad industrial del sector minero.(Líneas 1 y 4)";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-08-24";"2026-07-25";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/920602";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"50";"alta";"pendiente";"";"";"920582";"Orden por la que se establecen las bases reguladoras para la concesión de subvenciones a las empresas privadas, para el fomento de la sostenibilidad en el desarrollo de la actividad industrial del sector minero.(Líneas 2,3 y 5)";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-08-24";"2026-07-25";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/920582";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"51";"alta";"pendiente";"";"";"720445";"Plan complementario Energía e Hidrógeno Verde";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"";"";"www.euskadi.eus";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
